order_id,customer_id,customer_name,customer_email,customer_age,customer_gender,customer_city,customer_state,registration_date,order_date,order_status,product_id,product_name,category,sub_category,brand,unit_price,quantity,discount_percent,shipping_cost,payment_method,device_type,rating,review_text,is_returned,delivery_days,total_amount,profit_margin,order_month,order_year,order_quarter,order_day_of_week,order_month_year,is_weekend,customer_tenure_days,delivery_status,discount_bucket,price_tier
ORD0001829,CUST01598,Riya Bose,riya.bose56@hotmail.com,51,Female,Nagpur,Maharashtra,2021-06-04,2022-01-01,Completed,PROD3634,S. Chand Comics Max T10,Books,Comics,S. Chand,135.84,7,0.0,46.18,UPI,Tablet,4.0,No Review,False,2,997.06,40.0,1,2022,1,Saturday,2022-01,True,211,Fast,No Discount,Budget
ORD0001842,CUST01170,Tanvi Banerjee,tanvi.banerjee533@outlook.com,57,Female,Delhi,Delhi,2021-03-28,2022-01-01,Completed,PROD3889,Nike Bags Pro G9,Fashion,Bags,Nike,11746.55,10,5.0,155.54,UPI,Desktop,1.0,No Review,False,15,111747.76,40.0,1,2022,1,Saturday,2022-01,True,279,Slow,Low (1-10%),Premium
ORD0007137,CUST00811,Kunal Yadav,kunal.yadav172@hotmail.com,30,Male,Nagpur,Maharashtra,2021-06-06,2022-01-01,Cancelled,PROD7576,Dell Tablets Elite S2,Electronics,Tablets,Dell,22606.44,10,20.0,53.94,Credit Card,Mobile,4.0,No Review,False,11,180905.46,40.0,1,2022,1,Saturday,2022-01,True,209,Slow,Medium (11-25%),Premium
ORD0006847,CUST01057,Harsha Nair,harsha.nair368@gmail.com,61,Male,Kanpur,Uttar Pradesh,2021-03-20,2022-01-01,Returned,PROD7299,HP Smart Watches Eco K8,Electronics,Smart Watches,HP,84176.7,5,0.0,49.4,Credit Card,Mobile,4.0,No Review,True,3,420932.9,40.0,1,2022,1,Saturday,2022-01,True,287,Fast,No Discount,Luxury
ORD0006760,CUST00703,Priya Gupta,priya.gupta800@hotmail.com,67,Male,Kanpur,Uttar Pradesh,2021-12-15,2022-01-01,Completed,PROD9243,Dell Laptops Ultra V3,Electronics,Laptops,Dell,128214.23,2,5.0,169.38,UPI,Mobile,4.0,No Review,False,2,243776.42,40.0,1,2022,1,Saturday,2022-01,True,17,Fast,Low (1-10%),Luxury
ORD0002510,CUST01366,Varun Joshi,varun.joshi394@hotmail.com,39,Male,Hyderabad,Telangana,2021-12-08,2022-01-01,Completed,PROD5863,Zara Women's Clothing Plus S2,Fashion,Women's Clothing,Zara,12121.93,6,0.0,185.46,Net Banking,Tablet,3.0,No Review,False,12,72917.04,40.0,1,2022,1,Saturday,2022-01,True,24,Slow,No Discount,Premium
ORD0005905,CUST00114,Arjun Reddy,arjun.reddy211@gmail.com,41,Male,Chennai,Tamil Nadu,2021-05-13,2022-01-01,Completed,PROD7350,Dell Laptops Premium R6,Electronics,Laptops,Dell,121454.06,7,25.0,152.34,Credit Card,Mobile,5.0,Works perfectly as described.,False,3,637786.15,40.0,1,2022,1,Saturday,2022-01,True,233,Fast,Medium (11-25%),Luxury
ORD0005758,CUST01127,Amit Rao,amit.rao510@outlook.com,28,Female,Gurgaon,Haryana,2021-05-18,2022-01-01,Completed,PROD7056,Bajaj Furniture Lite M4,Home & Kitchen,Furniture,Bajaj,49074.72,3,10.0,118.18,Debit Card,Mobile,3.0,Exactly what I needed.,False,3,132619.92,40.0,1,2022,1,Saturday,2022-01,True,228,Fast,Low (1-10%),Premium
ORD0009105,CUST00566,Zara Jain,zara.jain656@outlook.com,49,Female,Visakhapatnam,Andhra Pradesh,2021-12-17,2022-01-01,Completed,PROD8673,Lakme Men's Grooming Lite X1,Beauty,Men's Grooming,Lakme,778.96,5,15.0,25.33,Credit Card,Mobile,3.0,Best product in this range.,False,8,3335.91,40.0,1,2022,1,Saturday,2022-01,True,15,Normal,Medium (11-25%),Economy
ORD0007665,CUST01694,Rahul Chatterjee,rahul.chatterjee756@yahoo.com,20,Male,Lucknow,Uttar Pradesh,2021-08-09,2022-01-02,Cancelled,PROD5490,Adidas Jewellery Pro X1,Fashion,Jewellery,Adidas,7524.23,4,10.0,156.68,UPI,Desktop,4.0,No Review,False,4,27243.91,40.0,1,2022,1,Sunday,2022-01,True,146,Fast,Low (1-10%),Mid-range
