order_id,customer_id,customer_name,customer_email,customer_age,customer_gender,customer_city,customer_state,registration_date,order_date,order_status,product_id,product_name,category,sub_category,brand,unit_price,quantity,discount_percent,shipping_cost,payment_method,device_type,rating,review_text,is_returned,delivery_days
ORD0001829,CUST01598,Riya Bose,riya.bose56@hotmail.com,51,Female,Nagpur,Maharashtra,2021-06-04,2022-01-01,Completed,PROD3634,S. Chand Comics Max T10,Books,Comics,S. Chand,135.84,7,0.0,46.18,UPI,Tablet,4.0,,False,2
ORD0001842,CUST01170,Tanvi Banerjee,tanvi.banerjee533@outlook.com,57,Female,Delhi,Delhi,2021-03-28,2022-01-01,Completed,PROD3889,Nike Bags Pro G9,Fashion,Bags,Nike,11746.55,10,5.0,155.54,UPI,Desktop,1.0,,False,15
ORD0007137,CUST00811,Kunal Yadav,kunal.yadav172@hotmail.com,30,Male,Nagpur,Maharashtra,2021-06-06,2022-01-01,Cancelled,PROD7576,Dell Tablets Elite S2,Electronics,Tablets,Dell,22606.44,10,20.0,53.94,Credit Card,Mobile,,,False,11
ORD0006847,CUST01057,Harsha Nair,harsha.nair368@gmail.com,61,Male,Kanpur,Uttar Pradesh,2021-03-20,2022-01-01,Returned,PROD7299,HP Smart Watches Eco K8,Electronics,Smart Watches,HP,84176.7,5,0.0,49.4,Credit Card,Mobile,,,True,3
ORD0006760,CUST00703,Priya Gupta,priya.gupta800@hotmail.com,67,Male,Kanpur,Uttar Pradesh,2021-12-15,2022-01-01,Completed,PROD9243,Dell Laptops Ultra V3,Electronics,Laptops,Dell,128214.23,2,5.0,169.38,UPI,Mobile,,,False,2
ORD0002510,CUST01366,Varun Joshi,varun.joshi394@hotmail.com,39,Male,Hyderabad,Telangana,2021-12-08,2022-01-01,Completed,PROD5863,Zara Women's Clothing Plus S2,Fashion,Women's Clothing,Zara,12121.93,6,0.0,185.46,Net Banking,Tablet,3.0,,False,12
ORD0005905,CUST00114,Arjun Reddy,arjun.reddy211@gmail.com,41,Male,Chennai,Tamil Nadu,2021-05-13,2022-01-01,Completed,PROD7350,Dell Laptops Premium R6,Electronics,Laptops,Dell,121454.06,7,25.0,152.34,Credit Card,Mobile,5.0,Works perfectly as described.,False,3
ORD0005758,CUST01127,Amit Rao,amit.rao510@outlook.com,28,Female,Gurgaon,Haryana,2021-05-18,2022-01-01,Completed,PROD7056,Bajaj Furniture Lite M4,Home & Kitchen,Furniture,Bajaj,49074.72,3,10.0,118.18,Debit Card,Mobile,3.0,Exactly what I needed.,False,3
ORD0009105,CUST00566,Zara Jain,zara.jain656@outlook.com,49,Female,Visakhapatnam,Andhra Pradesh,2021-12-17,2022-01-01,Completed,PROD8673,Lakme Men's Grooming Lite X1,Beauty,Men's Grooming,Lakme,778.96,5,15.0,25.33,Credit Card,Mobile,3.0,Best product in this range.,False,8
ORD0007665,CUST01694,Rahul Chatterjee,rahul.chatterjee756@yahoo.com,20,Male,Lucknow,Uttar Pradesh,2021-08-09,2022-01-02,Cancelled,PROD5490,Adidas Jewellery Pro X1,Fashion,Jewellery,Adidas,7524.23,4,10.0,156.68,UPI,Desktop,,,False,4
ORD0002635,CUST01105,Vikram Yadav,vikram.yadav904@outlook.com,28,Female,Kanpur,Uttar Pradesh,2021-10-05,2022-01-02,Cancelled,PROD1884,Barbie Board Games Plus G9,Toys,Board Games,Barbie,1272.59,3,5.0,117.31,UPI,Mobile,,,False,11
ORD0005376,CUST00301,Smita Kulkarni,smita.kulkarni134@yahoo.com,19,Female,Bhopal,Madhya Pradesh,2021-12-13,2022-01-02,Completed,PROD3474,Himalaya Skincare Classic G9,Beauty,Skincare,Himalaya,5907.96,10,20.0,108.04,COD,Desktop,1.0,Best product in this range.,False,11
ORD0004741,CUST01784,Rekha Bose,rekha.bose379@outlook.com,68,Male,Coimbatore,Tamil Nadu,2021-11-07,2022-01-02,Completed,PROD7783,Bosch Cookware Max T10,Home & Kitchen,Cookware,Bosch,23181.59,7,0.0,152.63,UPI,Mobile,4.0,Saves a lot of time.,False,4
ORD0004200,CUST00775,Rajesh Patel,rajesh.patel745@gmail.com,70,Male,Hyderabad,Telangana,2021-08-22,2022-01-02,Cancelled,PROD9749,Mango Accessories Plus K8,Fashion,Accessories,Mango,4788.45,2,0.0,6.49,UPI,Mobile,,,False,8
ORD0008970,CUST01893,Priya Kulkarni,priya.kulkarni876@yahoo.com,48,Male,Visakhapatnam,Andhra Pradesh,2021-12-06,2022-01-03,Completed,PROD2340,Levi's Footwear Smart R6,Fashion,Footwear,Levi's,2393.22,1,0.0,140.04,Debit Card,Mobile,2.0,,False,9
ORD0004005,CUST02364,Deepa Malhotra,deepa.malhotra38@outlook.com,64,Male,Noida,Uttar Pradesh,2021-04-18,2022-01-03,Completed,PROD6240,Biotique Fragrances Lite G9,Beauty,Fragrances,Biotique,1887.8,8,5.0,41.37,COD,Mobile,5.0,Will definitely buy again.,False,2
ORD0009369,CUST01105,Vikram Yadav,vikram.yadav904@outlook.com,28,Female,Kanpur,Uttar Pradesh,2021-10-05,2022-01-03,Completed,PROD5220,Bosch Cookware Elite X1,Home & Kitchen,Cookware,Bosch,19337.77,5,10.0,136.96,Net Banking,Tablet,1.0,,False,12
